display_name,canonical_wikipedia_url,structural_classification,structural_sensitivity,structural_risk_score,structural_notes,outcome_risk_notes_before,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Subutai,https://en.wikipedia.org/wiki/Subutai,structurally_clean,moderate,10,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,corrected,material_change,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,14,16,V=13; D=1; N=0; U=2,V=14; D=2; N=0; U=0,2,0,0,0,8.0,8.0,6.0,8.0,high_confidence_upper_band,robust_elite_core,moderate,high
Louis-Nicolas Davout,https://en.wikipedia.org/wiki/Louis-Nicolas_Davout,mildly_inflated,stable,10,3 structurally suspect rows; campaign reduction 3→0,multiple surviving battle pages still unresolved,unresolved_after_review,stable_after_review,25,25,B=22; O=0; C=0; W=3,B=22; O=0; C=0; W=3,20,20,V=15; D=5; N=0; U=5,V=15; D=5; N=0; U=5,0,5,2,2,10.0,9.0,11.0,10.0,robust_elite_core,robust_elite_core,high,high
Ögedei Khan,https://en.wikipedia.org/wiki/%C3%96gedei_Khan,materially_inflated,high,10,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected,material_change,12,12,B=9; O=0; C=0; W=3,B=9; O=0; C=0; W=3,10,12,V=9; D=1; N=0; U=2,V=10; D=2; N=0; U=0,2,0,0,0,32.0,45.0,28.0,58.0,model_sensitive_band,model_sensitive_band,caution,caution
Maharaja Ranjit Singh,https://en.wikipedia.org/wiki/Ranjit_Singh,materially_inflated,high,10,1 structurally suspect rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,11,11,B=8; O=0; C=0; W=3,B=8; O=0; C=0; W=3,8,9,V=6; D=2; N=0; U=3,V=7; D=2; N=0; U=2,1,2,2,2,,,,,,,,
Matvei Platov,https://en.wikipedia.org/wiki/Matvei_Platov,materially_inflated,high,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,confirmed_no_change,material_change,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,9,9,V=8; D=1; N=0; U=1,V=8; D=1; N=0; U=1,0,1,0,0,92.0,98.0,92.0,90.0,model_sensitive_band,model_sensitive_band,caution,caution
Hari Singh Nalwa,https://en.wikipedia.org/wiki/Hari_Singh_Nalwa,materially_inflated,high,10,1 structurally suspect rows; war-page reduction 2→1; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,9,10,V=7; D=1; N=1; U=2,V=8; D=1; N=1; U=1,1,1,1,1,94.0,85.0,87.0,76.0,model_sensitive_band,model_sensitive_band,caution,moderate
Katō Kiyomasa,https://en.wikipedia.org/wiki/Kat%C5%8D_Kiyomasa,materially_inflated,high,10,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,12,12,B=11; O=0; C=0; W=1,B=11; O=0; C=0; W=1,7,10,V=6; D=1; N=0; U=5,V=8; D=1; N=1; U=2,3,2,2,2,96.0,58.0,85.0,50.0,model_sensitive_band,model_sensitive_band,caution,caution
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,mildly_inflated,moderate,10,2 structurally suspect rows; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,18,18,B=17; O=0; C=0; W=1,B=17; O=0; C=0; W=1,8,11,V=7; D=1; N=0; U=10,V=10; D=1; N=0; U=7,3,7,7,7,,29.0,,26.0,,model_sensitive_band,,caution
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,materially_inflated,high,10,2 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,6,8,V=5; D=0; N=1; U=5,V=5; D=2; N=1; U=3,2,3,3,3,,,,,,,,
Jean-Baptiste Bessières,https://en.wikipedia.org/wiki/Jean-Baptiste_Bessi%C3%A8res,materially_inflated,high,10,2 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,17,17,B=13; O=0; C=0; W=4,B=13; O=0; C=0; W=4,15,15,V=9; D=6; N=0; U=2,V=9; D=6; N=0; U=2,0,2,1,1,,,,,,,,
Gerd von Rundstedt,https://en.wikipedia.org/wiki/Gerd_von_Rundstedt,materially_inflated,high,10,1 structurally suspect rows; 4 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,20,20,B=16; O=4; C=0; W=0,B=16; O=4; C=0; W=0,10,11,V=7; D=3; N=0; U=10,V=7; D=4; N=0; U=9,1,9,8,8,,,,,,,,
Belisarius,https://en.wikipedia.org/wiki/Belisarius,materially_inflated,high,9,1 downgraded broad rows; war-page reduction 4→3; rank moved materially after verification,,corrected,stable_after_review,18,18,B=15; O=0; C=0; W=3,B=15; O=0; C=0; W=3,17,18,V=11; D=4; N=1; U=1,V=11; D=4; N=2; U=0,1,0,0,0,35.0,33.0,40.0,39.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Fedor von Bock,https://en.wikipedia.org/wiki/Fedor_von_Bock,materially_inflated,high,9,4 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,18,18,B=13; O=5; C=0; W=0,B=13; O=5; C=0; W=0,13,13,V=11; D=2; N=0; U=5,V=11; D=2; N=0; U=5,0,5,4,4,52.0,55.0,75.0,79.0,model_sensitive_band,model_sensitive_band,caution,caution
Claude-Victor Perrin,https://en.wikipedia.org/wiki/Claude-Victor_Perrin,materially_inflated,high,9,2 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,28,28,B=26; O=0; C=0; W=2,B=26; O=0; C=0; W=2,22,22,V=13; D=9; N=0; U=6,V=13; D=9; N=0; U=6,0,6,2,2,,,,,,,,
Konishi Yukinaga,https://en.wikipedia.org/wiki/Konishi_Yukinaga,materially_inflated,high,9,1 structurally suspect rows; 1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,unresolved_after_review,material_change,13,13,B=13; O=0; C=0; W=0,B=13; O=0; C=0; W=0,11,11,V=8; D=3; N=0; U=2,V=8; D=3; N=0; U=2,0,2,2,2,73.0,79.0,90.0,93.0,model_sensitive_band,model_sensitive_band,caution,caution
Omar Bradley,https://en.wikipedia.org/wiki/Omar_Bradley,materially_inflated,high,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,13,13,B=6; O=7; C=0; W=0,B=6; O=7; C=0; W=0,12,12,V=10; D=2; N=0; U=1,V=10; D=2; N=0; U=1,0,1,1,1,,,,,,,,
François Joseph Lefebvre,https://en.wikipedia.org/wiki/Fran%C3%A7ois_Joseph_Lefebvre,materially_inflated,high,9,2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,13,13,B=11; O=0; C=0; W=2,B=11; O=0; C=0; W=2,11,11,V=6; D=5; N=0; U=2,V=6; D=5; N=0; U=2,0,2,2,2,,,,,,,,
Georg von Küchler,https://en.wikipedia.org/wiki/Georg_von_K%C3%BCchler,materially_inflated,high,9,2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,12,12,B=6; O=6; C=0; W=0,B=6; O=6; C=0; W=0,11,11,V=8; D=3; N=0; U=1,V=8; D=3; N=0; U=1,0,1,1,1,,,,,,,,
Joseph Souham,https://en.wikipedia.org/wiki/Joseph_Souham,materially_inflated,high,9,1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,7,7,V=6; D=1; N=0; U=1,V=6; D=1; N=0; U=1,0,1,1,1,,,,,,,,
"Archduke Charles, Duke of Teschen",https://en.wikipedia.org/wiki/Archduke_Charles%2C_Duke_of_Teschen,materially_inflated,high,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,27,27,B=25; O=0; C=0; W=2,B=25; O=0; C=0; W=2,20,21,V=11; D=9; N=0; U=7,V=11; D=9; N=1; U=6,1,6,3,3,,,,,,,,
Valery Gerasimov,https://en.wikipedia.org/wiki/Valery_Gerasimov,materially_inflated,high,9,2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,10,10,B=3; O=2; C=0; W=5,B=3; O=2; C=0; W=5,4,4,V=4; D=0; N=0; U=6,V=4; D=0; N=0; U=6,0,6,3,3,,,,,,,,
Tommy Franks,https://en.wikipedia.org/wiki/Tommy_Franks,materially_inflated,high,9,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,15,15,B=5; O=7; C=0; W=3,B=5; O=7; C=0; W=3,5,6,V=5; D=0; N=0; U=10,V=6; D=0; N=0; U=9,1,9,8,8,,,,,,,,
Stilicho,https://en.wikipedia.org/wiki/Stilicho,materially_inflated,high,9,1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,8,8,B=6; O=0; C=0; W=2,B=6; O=0; C=0; W=2,6,6,V=6; D=0; N=0; U=2,V=6; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Qutb ud-Din Aibak,https://en.wikipedia.org/wiki/Qutb_ud-Din_Aibak,materially_inflated,high,9,1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,6,6,V=6; D=0; N=0; U=1,V=6; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Hans Karl von Diebitsch,https://en.wikipedia.org/wiki/Hans_Karl_von_Diebitsch,materially_inflated,high,9,1 downgraded broad rows; rank moved materially after verification,,corrected,stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,5,6,V=4; D=1; N=0; U=2,V=5; D=1; N=0; U=1,1,1,0,0,,,,,,,,
Mahmud Pasha Angelović,https://en.wikipedia.org/wiki/Mahmud_Pasha_Angelovi%C4%87,materially_inflated,high,8,2 downgraded broad rows; war-page reduction 1→0; campaign reduction 1→0; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,9,10,V=8; D=1; N=0; U=2,V=9; D=1; N=0; U=1,1,1,1,1,30.0,25.0,26.0,24.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Joachim Murat,https://en.wikipedia.org/wiki/Joachim_Murat,materially_inflated,high,8,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,37,37,B=31; O=0; C=0; W=6,B=31; O=0; C=0; W=6,28,29,V=18; D=10; N=0; U=9,V=18; D=10; N=1; U=8,1,8,6,6,,,,,,,,
"François-Henri de Montmorency, duc de Luxembourg",https://en.wikipedia.org/wiki/Fran%C3%A7ois-Henri_de_Montmorency%2C_duc_de_Luxembourg,materially_inflated,high,8,rank moved materially after verification,,unresolved_after_review,stable_after_review,13,13,B=10; O=0; C=0; W=3,B=10; O=0; C=0; W=3,7,7,V=7; D=0; N=0; U=6,V=7; D=0; N=0; U=6,0,6,3,3,138.0,136.0,105.0,103.0,outside_trust_headline,outside_trust_headline,caution,caution
Nikolay Kamensky,https://en.wikipedia.org/wiki/Nikolay_Kamensky,materially_inflated,high,8,1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,8,9,V=7; D=1; N=0; U=3,V=7; D=1; N=1; U=2,1,2,1,1,,,,,,,,
Bairam Khan,https://en.wikipedia.org/wiki/Bairam_Khan,materially_inflated,high,8,1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,7,7,V=6; D=1; N=0; U=2,V=6; D=1; N=0; U=2,0,2,1,1,,,,,,,,
Jean Lannes,https://en.wikipedia.org/wiki/Jean_Lannes,mildly_inflated,moderate,7,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 4→3; campaign reduction 1→0,,corrected_but_partially_unresolved,stable_after_review,28,28,B=25; O=0; C=0; W=3,B=25; O=0; C=0; W=3,26,27,V=24; D=2; N=0; U=2,V=24; D=2; N=1; U=1,1,1,1,1,11.0,10.0,12.0,11.0,robust_elite_core,robust_elite_core,high,high
Tolui,https://en.wikipedia.org/wiki/Tolui,materially_inflated,high,7,1 downgraded broad rows; rank moved materially after verification,,corrected,stable_after_review,10,10,B=7; O=0; C=0; W=3,B=7; O=0; C=0; W=3,8,10,V=8; D=0; N=0; U=2,V=9; D=1; N=0; U=0,2,0,0,0,59.0,56.0,31.0,38.0,model_sensitive_band,model_sensitive_band,caution,caution
Francis Vere,https://en.wikipedia.org/wiki/Francis_Vere,materially_inflated,high,7,1 downgraded broad rows; war-page reduction 1→0; rank moved materially after verification,,unresolved_after_review,material_change,18,18,B=18; O=0; C=0; W=0,B=18; O=0; C=0; W=0,17,17,V=14; D=3; N=0; U=1,V=14; D=3; N=0; U=1,0,1,1,1,66.0,71.0,78.0,81.0,model_sensitive_band,model_sensitive_band,caution,caution
Laurent de Gouvion Saint-Cyr,https://en.wikipedia.org/wiki/Laurent_de_Gouvion_Saint-Cyr,materially_inflated,high,7,1 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,20,20,B=18; O=0; C=0; W=2,B=18; O=0; C=0; W=2,16,16,V=11; D=5; N=0; U=4,V=11; D=5; N=0; U=4,0,4,2,2,,,,,,,,
"Charles William Ferdinand, Duke of Brunswick",https://en.wikipedia.org/wiki/Charles_William_Ferdinand%2C_Duke_of_Brunswick,materially_inflated,high,7,1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,12,12,B=9; O=0; C=0; W=3,B=9; O=0; C=0; W=3,9,9,V=4; D=5; N=0; U=3,V=4; D=5; N=0; U=3,0,3,3,3,,,,,,,,
Heinz Guderian,https://en.wikipedia.org/wiki/Heinz_Guderian,materially_inflated,high,6,1 downgraded broad rows; rank moved materially after verification,multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,material_change,13,13,B=13; O=0; C=0; W=0,B=13; O=0; C=0; W=0,9,11,V=8; D=1; N=0; U=4,V=8; D=1; N=2; U=2,2,2,2,2,25.0,41.0,19.0,35.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
"Sébastien Le Prestre, Marquis of Vauban",https://en.wikipedia.org/wiki/S%C3%A9bastien_Le_Prestre%2C_Marquis_of_Vauban,mildly_inflated,moderate,6,rank moved materially after verification,clean record with unresolved battle outcomes,corrected_but_partially_unresolved,stable_after_review,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,12,13,V=12; D=0; N=0; U=4,V=12; D=0; N=1; U=3,1,3,2,2,29.0,28.0,24.0,23.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Hubert Gough,https://en.wikipedia.org/wiki/Hubert_Gough,materially_inflated,high,6,1 downgraded broad rows; rank moved materially after verification,multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,material_change,22,22,B=20; O=2; C=0; W=0,B=20; O=2; C=0; W=0,15,17,V=12; D=2; N=1; U=7,V=12; D=2; N=3; U=5,2,5,1,1,38.0,40.0,38.0,47.0,high_confidence_upper_band,model_sensitive_band,moderate,caution
Khalid ibn al-Walid,https://en.wikipedia.org/wiki/Khalid_ibn_al-Walid,high_priority_manual_audit,moderate,6,1 downgraded broad rows; rank moved materially after verification,clean record with unresolved battle outcomes; multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,material_change,41,41,B=40; O=0; C=0; W=1,B=40; O=0; C=0; W=1,33,39,V=31; D=0; N=2; U=8,V=37; D=0; N=2; U=2,7,2,2,2,41.0,38.0,50.0,42.0,model_sensitive_band,high_confidence_upper_band,caution,moderate
Kirill Meretskov,https://en.wikipedia.org/wiki/Kirill_Meretskov,mildly_inflated,moderate,6,3 downgraded broad rows,,unresolved_after_review,stable_after_review,13,13,B=4; O=7; C=0; W=2,B=4; O=7; C=0; W=2,10,10,V=8; D=2; N=0; U=3,V=8; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Saladin,https://en.wikipedia.org/wiki/Saladin,mildly_inflated,moderate,6,rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,21,21,B=21; O=0; C=0; W=0,B=21; O=0; C=0; W=0,10,11,V=10; D=0; N=0; U=11,V=10; D=0; N=1; U=10,1,10,10,10,115.0,118.0,112.0,116.0,outside_trust_headline,outside_trust_headline,caution,caution
Sidney Smith,https://en.wikipedia.org/wiki/Sidney_Smith_(Royal_Navy_officer),materially_inflated,high,6,rank moved materially after verification,,unresolved_after_review,stable_after_review,10,10,B=9; O=1; C=0; W=0,B=9; O=1; C=0; W=0,8,8,V=6; D=2; N=0; U=2,V=6; D=2; N=0; U=2,0,2,1,1,,,,,,,,
"Maurice, Prince of Orange",https://en.wikipedia.org/wiki/Maurice%2C_Prince_of_Orange,mildly_inflated,moderate,5,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 5→2,,unresolved_after_review,stable_after_review,38,38,B=36; O=0; C=0; W=2,B=36; O=0; C=0; W=2,35,35,V=28; D=7; N=0; U=3,V=28; D=7; N=0; U=3,0,3,3,3,12.0,12.0,14.0,13.0,robust_elite_core,robust_elite_core,very_high,very_high
Winfield Scott,https://en.wikipedia.org/wiki/Winfield_Scott,materially_inflated,high,5,rank moved materially after verification,,unresolved_after_review,material_change,12,12,B=8; O=0; C=0; W=4,B=8; O=0; C=0; W=4,8,8,V=7; D=1; N=0; U=4,V=7; D=1; N=0; U=4,0,4,1,1,61.0,67.0,49.0,51.0,model_sensitive_band,model_sensitive_band,caution,caution
Takeda Shingen,https://en.wikipedia.org/wiki/Takeda_Shingen,materially_inflated,high,5,rank moved materially after verification,,corrected_but_partially_unresolved,material_change,28,28,B=28; O=0; C=0; W=0,B=28; O=0; C=0; W=0,22,23,V=21; D=1; N=0; U=6,V=21; D=1; N=1; U=5,1,5,5,5,77.0,82.0,82.0,80.0,model_sensitive_band,model_sensitive_band,caution,caution
Baybars,https://en.wikipedia.org/wiki/Baybars,materially_inflated,high,5,rank moved materially after verification,,corrected,material_change,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,8,9,V=8; D=0; N=0; U=2,V=8; D=0; N=1; U=1,1,1,0,0,83.0,90.0,64.0,68.0,model_sensitive_band,model_sensitive_band,caution,caution
Tokugawa Ieyasu,https://en.wikipedia.org/wiki/Tokugawa_Ieyasu,materially_inflated,high,5,rank moved materially after verification,,unresolved_after_review,stable_after_review,14,14,B=13; O=0; C=0; W=1,B=13; O=0; C=0; W=1,12,12,V=10; D=2; N=0; U=2,V=10; D=2; N=0; U=2,0,2,2,2,,,,,,,,
Ōyama Iwao,https://en.wikipedia.org/wiki/%C5%8Cyama_Iwao,materially_inflated,high,5,rank moved materially after verification,,corrected,material_change,10,10,B=8; O=0; C=0; W=2,B=8; O=0; C=0; W=2,8,9,V=8; D=0; N=0; U=2,V=8; D=0; N=1; U=1,1,1,0,0,117.0,108.0,62.0,66.0,outside_trust_headline,outside_trust_headline,caution,caution
Publius Cornelius Scipio,https://en.wikipedia.org/wiki/Scipio_Africanus,materially_inflated,high,5,rank moved materially after verification,,corrected,material_change,12,12,B=10; O=0; C=0; W=2,B=10; O=0; C=0; W=2,9,12,V=9; D=0; N=0; U=3,V=9; D=3; N=0; U=0,3,0,0,0,161.0,,76.0,,outside_trust_headline,,caution,
Walter Krueger,https://en.wikipedia.org/wiki/Walter_Krueger,mildly_inflated,stable,4,1 structurally suspect rows; campaign reduction 1→0,,confirmed_no_change,material_change,12,12,B=9; O=3; C=0; W=0,B=9; O=3; C=0; W=0,12,12,V=11; D=0; N=0; U=0,V=11; D=0; N=0; U=0,0,0,0,0,49.0,54.0,53.0,59.0,model_sensitive_band,model_sensitive_band,caution,caution
Abu Ubayda ibn al-Jarrah,https://en.wikipedia.org/wiki/Abu_Ubayda_ibn_al-Jarrah,mildly_inflated,moderate,4,1 downgraded broad rows; campaign reduction 1→0; rank moved materially after verification,,corrected,material_change,13,13,B=12; O=0; C=0; W=1,B=12; O=0; C=0; W=1,11,13,V=10; D=1; N=0; U=2,V=12; D=1; N=0; U=0,2,0,0,0,67.0,61.0,60.0,57.0,model_sensitive_band,model_sensitive_band,caution,caution
"Alexander Farnese, Duke of Parma",https://en.wikipedia.org/wiki/Alexander_Farnese%2C_Duke_of_Parma,mildly_inflated,moderate,3,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 3→1,,unresolved_after_review,stable_after_review,20,20,B=19; O=0; C=0; W=1,B=19; O=0; C=0; W=1,18,18,V=16; D=2; N=0; U=2,V=16; D=2; N=0; U=2,0,2,2,2,33.0,37.0,35.0,37.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
