display_name,canonical_wikipedia_url,structural_classification,dominant_verification_status,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Takeda Katsuyori,https://en.wikipedia.org/wiki/Takeda_Katsuyori,structurally_clean,verified_core,7,7,0,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=2,V=4; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Gordon Bremer,https://en.wikipedia.org/wiki/Gordon_Bremer,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,4,4,V=4; D=0; N=0; U=2,V=4; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Mikhail Dmitrievich Gorchakov,https://en.wikipedia.org/wiki/Mikhail_Dmitrievich_Gorchakov,structurally_clean,verified_core,8,8,0,0,0,corrected,confirmed_stable_after_review,8,8,B=7; O=0; C=0; W=1,B=7; O=0; C=0; W=1,7,8,V=2; D=5; N=0; U=1,V=3; D=5; N=0; U=0,1,0,0,0,,,,,,,,
José Solchaga,https://en.wikipedia.org/wiki/Jos%C3%A9_Solchaga,mildly_inflated,verified_broad,6,5,1,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=3; O=2; C=0; W=0,B=3; O=2; C=0; W=0,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Agha Mohammad Khan Qajar,https://en.wikipedia.org/wiki/Agha_Mohammad_Khan_Qajar,materially_inflated,structurally_suspect,5,3,1,1,0,unresolved_after_review,confirmed_stable_after_review,3,3,B=3; O=0; C=0; W=0,B=3; O=0; C=0; W=0,2,2,V=1; D=1; N=0; U=1,V=1; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Kuroda Nagamasa,https://en.wikipedia.org/wiki/Kuroda_Nagamasa,materially_inflated,structurally_suspect,6,5,0,1,0,corrected,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,5,V=3; D=1; N=0; U=1,V=4; D=1; N=0; U=0,1,0,0,0,,,,,,,,
Friedrich Paulus,https://en.wikipedia.org/wiki/Friedrich_Paulus,mildly_inflated,verified_broad,9,8,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=5; O=3; C=0; W=0,B=5; O=3; C=0; W=0,4,5,V=2; D=2; N=0; U=4,V=2; D=3; N=0; U=3,1,3,3,3,,,,,,,,
Catherine the Great,https://en.wikipedia.org/wiki/Catherine_the_Great,materially_inflated,verified_broad,7,2,5,0,0,unresolved_after_review,confirmed_stable_after_review,2,2,B=0; O=0; C=0; W=2,B=0; O=0; C=0; W=2,0,0,V=0; D=0; N=0; U=2,V=0; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Duke Ferdinand of Brunswick-Wolfenbüttel,https://en.wikipedia.org/wiki/Duke_Ferdinand_of_Brunswick-Wolfenb%C3%BCttel,structurally_clean,verified_core,14,14,0,0,0,unresolved_after_review,confirmed_stable_after_review,14,14,B=13; O=0; C=0; W=1,B=13; O=0; C=0; W=1,12,12,V=5; D=6; N=1; U=2,V=5; D=6; N=1; U=2,0,2,2,2,,,,,,,,
Giovanni Andrea Doria,https://en.wikipedia.org/wiki/Giovanni_Andrea_Doria,materially_inflated,structurally_suspect,6,4,1,1,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=3; O=1; C=0; W=0,B=3; O=1; C=0; W=0,3,3,V=2; D=1; N=0; U=1,V=2; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Bıyıklı Mehmed Pasha,https://en.wikipedia.org/wiki/B%C4%B1y%C4%B1kl%C4%B1_Mehmed_Pasha,materially_inflated,structurally_suspect,6,3,2,1,0,unresolved_after_review,confirmed_stable_after_review,3,3,B=3; O=0; C=0; W=0,B=3; O=0; C=0; W=0,2,2,V=2; D=0; N=0; U=1,V=2; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Claude Lecourbe,https://en.wikipedia.org/wiki/Claude_Lecourbe,materially_inflated,structurally_suspect,8,7,0,1,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,6,6,V=2; D=3; N=1; U=1,V=2; D=3; N=1; U=1,0,1,1,1,,,,,,,,
Georg-Hans Reinhardt,https://en.wikipedia.org/wiki/Georg-Hans_Reinhardt,structurally_clean,verified_core,10,10,0,0,0,corrected,confirmed_stable_after_review,10,10,B=3; O=7; C=0; W=0,B=3; O=7; C=0; W=0,8,10,V=2; D=6; N=0; U=2,V=2; D=8; N=0; U=0,2,0,0,0,,,,,,,,
Charles I of England,https://en.wikipedia.org/wiki/Charles_I_of_England,materially_inflated,structurally_suspect,19,15,3,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,15,15,B=11; O=0; C=0; W=4,B=11; O=0; C=0; W=4,3,7,V=0; D=2; N=1; U=12,V=2; D=2; N=3; U=8,4,8,8,8,,,,,,,,
Friedrich Graf Kleist von Nollendorf,https://en.wikipedia.org/wiki/Friedrich_Graf_Kleist_von_Nollendorf,materially_inflated,structurally_suspect,9,8,0,1,0,corrected,confirmed_stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,7,8,V=3; D=4; N=0; U=1,V=3; D=4; N=1; U=0,1,0,0,0,,,,,,,,
Sancho d'Avila,https://en.wikipedia.org/wiki/Sancho_d%27Avila,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,4,4,V=4; D=0; N=0; U=2,V=4; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Dost Mohammad Khan,https://en.wikipedia.org/wiki/Dost_Mohammad_Khan,materially_inflated,structurally_suspect,10,4,4,2,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=2; O=0; C=0; W=2,B=2; O=0; C=0; W=2,3,3,V=2; D=1; N=0; U=1,V=2; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Aleksey Kuropatkin,https://en.wikipedia.org/wiki/Aleksey_Kuropatkin,materially_inflated,structurally_suspect,8,7,0,1,0,corrected,confirmed_stable_after_review,7,7,B=5; O=0; C=0; W=2,B=5; O=0; C=0; W=2,5,6,V=2; D=3; N=0; U=2,V=2; D=3; N=1; U=1,1,1,0,0,,,,,,,,
Plaek Phibunsongkhram,https://en.wikipedia.org/wiki/Plaek_Phibunsongkhram,materially_inflated,structurally_suspect,10,4,4,2,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=2; O=0; C=0; W=2,B=2; O=0; C=0; W=2,1,1,V=0; D=0; N=1; U=3,V=0; D=0; N=1; U=3,0,3,2,2,,,,,,,,
Shuja-ud-Daula,https://en.wikipedia.org/wiki/Shuja-ud-Daula,mildly_inflated,verified_broad,6,5,1,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,4,4,V=3; D=1; N=0; U=1,V=3; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Miklós Horthy,https://en.wikipedia.org/wiki/Mikl%C3%B3s_Horthy,materially_inflated,verified_broad,6,3,3,0,0,unresolved_after_review,confirmed_stable_after_review,3,3,B=2; O=1; C=0; W=0,B=2; O=1; C=0; W=0,1,1,V=0; D=0; N=0; U=2,V=0; D=0; N=0; U=2,0,2,2,2,,,,,,,,
"Albrecht, Duke of Württemberg",https://en.wikipedia.org/wiki/Albrecht%2C_Duke_of_W%C3%BCrttemberg,mildly_inflated,verified_broad,9,8,1,0,0,unresolved_after_review,confirmed_stable_after_review,8,8,B=5; O=3; C=0; W=0,B=5; O=3; C=0; W=0,5,5,V=1; D=3; N=1; U=3,V=1; D=3; N=1; U=3,0,3,1,1,,,,,,,,
Benedict Arnold,https://en.wikipedia.org/wiki/Benedict_Arnold,structurally_clean,verified_core,9,9,0,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,6,6,V=4; D=2; N=0; U=3,V=4; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Phạm Văn Đồng,https://en.wikipedia.org/wiki/Ph%E1%BA%A1m_V%C4%83n_%C4%90%E1%BB%93ng,structurally_clean,verified_core,7,7,0,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=0; O=0; C=0; W=7,B=0; O=0; C=0; W=7,3,3,V=3; D=0; N=0; U=4,V=3; D=0; N=0; U=4,0,4,4,4,,,,,,,,
Vasily Chuikov,https://en.wikipedia.org/wiki/Vasily_Chuikov,structurally_clean,verified_core,7,7,0,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=2,V=4; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Jacques François Dugommier,https://en.wikipedia.org/wiki/Jacques_Fran%C3%A7ois_Dugommier,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,5,5,V=5; D=0; N=0; U=1,V=5; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Khan Temir,https://en.wikipedia.org/wiki/Khan_Temir,materially_inflated,structurally_suspect,9,6,2,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,3,3,V=1; D=2; N=0; U=3,V=1; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Louis Franchet d'Espèrey,https://en.wikipedia.org/wiki/Louis_Franchet_d%27Esp%C3%A8rey,materially_inflated,structurally_suspect,7,6,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,6,6,B=4; O=2; C=0; W=0,B=4; O=2; C=0; W=0,3,4,V=2; D=0; N=1; U=3,V=2; D=0; N=2; U=2,1,2,1,1,,,,,,,,
Ivan Zolotarenko,https://en.wikipedia.org/wiki/Ivan_Zolotarenko,materially_inflated,structurally_suspect,5,4,0,1,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=4; O=0; C=0; W=0,B=4; O=0; C=0; W=0,3,3,V=3; D=0; N=0; U=1,V=3; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Dagobert Sigmund von Wurmser,https://en.wikipedia.org/wiki/Dagobert_Sigmund_von_Wurmser,materially_inflated,structurally_suspect,11,9,1,1,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,8,8,V=2; D=6; N=0; U=1,V=2; D=6; N=0; U=1,0,1,1,1,,,,,,,,
Alexander Löhr,https://en.wikipedia.org/wiki/Alexander_L%C3%B6hr,materially_inflated,verified_broad,11,7,4,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,7,7,B=1; O=6; C=0; W=0,B=1; O=6; C=0; W=0,2,3,V=2; D=0; N=0; U=5,V=2; D=0; N=1; U=4,1,4,4,4,,,,,,,,
Georg von Frundsberg,https://en.wikipedia.org/wiki/Georg_von_Frundsberg,mildly_inflated,verified_broad,6,5,1,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,3,3,V=3; D=0; N=0; U=2,V=3; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Isaias Afwerki,https://en.wikipedia.org/wiki/Isaias_Afwerki,high_priority_manual_concern,structurally_suspect,11,4,0,7,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=2; O=1; C=0; W=1,B=2; O=1; C=0; W=1,1,1,V=0; D=0; N=1; U=3,V=0; D=0; N=1; U=3,0,3,2,2,,,,,,,,
Ottavio Piccolomini,https://en.wikipedia.org/wiki/Ottavio_Piccolomini,materially_inflated,structurally_suspect,8,6,1,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=3; D=2; N=0; U=1,V=3; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Svetozar Boroević,https://en.wikipedia.org/wiki/Svetozar_Boroevi%C4%87,materially_inflated,structurally_suspect,20,18,1,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,18,18,B=17; O=1; C=0; W=0,B=17; O=1; C=0; W=0,8,9,V=1; D=7; N=0; U=10,V=1; D=7; N=1; U=9,1,9,8,8,,,,,,,,
Valerian Frolov,https://en.wikipedia.org/wiki/Valerian_Frolov,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=1; O=3; C=0; W=2,B=1; O=3; C=0; W=2,5,5,V=4; D=0; N=1; U=1,V=4; D=0; N=1; U=1,0,1,1,1,,,,,,,,
Otto von Below,https://en.wikipedia.org/wiki/Otto_von_Below,mildly_inflated,verified_broad,12,11,1,0,0,unresolved_after_review,confirmed_stable_after_review,11,11,B=9; O=2; C=0; W=0,B=9; O=2; C=0; W=0,8,8,V=2; D=6; N=0; U=3,V=2; D=6; N=0; U=3,0,3,3,3,,,,,,,,
Witte de With,https://en.wikipedia.org/wiki/Witte_de_With,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,4,4,V=3; D=1; N=0; U=2,V=3; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Fath-Ali Shah Qajar,https://en.wikipedia.org/wiki/Fath-Ali_Shah_Qajar,high_priority_manual_concern,structurally_suspect,9,3,2,4,0,unresolved_after_review,confirmed_stable_after_review,3,3,B=3; O=0; C=0; W=0,B=3; O=0; C=0; W=0,2,2,V=1; D=1; N=0; U=1,V=1; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Arthur Arz von Straußenburg,https://en.wikipedia.org/wiki/Arthur_Arz_von_Strau%C3%9Fenburg,materially_inflated,structurally_suspect,18,12,5,1,0,unresolved_after_review,confirmed_stable_after_review,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,4,4,V=1; D=3; N=0; U=8,V=1; D=3; N=0; U=8,0,8,8,8,,,,,,,,
Stringer Lawrence,https://en.wikipedia.org/wiki/Stringer_Lawrence,structurally_clean,verified_core,5,5,0,0,0,corrected,confirmed_stable_after_review,5,5,B=4; O=0; C=0; W=1,B=4; O=0; C=0; W=1,4,5,V=4; D=0; N=0; U=1,V=4; D=0; N=1; U=0,1,0,0,0,,,,,,,,
Ludwig von Benedek,https://en.wikipedia.org/wiki/Ludwig_von_Benedek,mildly_inflated,verified_broad,6,5,1,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=4; O=0; C=0; W=1,B=4; O=0; C=0; W=1,3,3,V=2; D=1; N=0; U=2,V=2; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Fukushima Masanori,https://en.wikipedia.org/wiki/Fukushima_Masanori,materially_inflated,structurally_suspect,6,5,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,2,3,V=2; D=0; N=0; U=3,V=2; D=0; N=1; U=2,1,2,2,2,,,,,,,,
Philip VI of France,https://en.wikipedia.org/wiki/Philip_VI_of_France,materially_inflated,structurally_suspect,9,6,1,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,6,6,B=3; O=0; C=0; W=3,B=3; O=0; C=0; W=3,4,5,V=1; D=3; N=0; U=2,V=1; D=3; N=1; U=1,1,1,1,1,,,,,,,,
Nicolas Catinat,https://en.wikipedia.org/wiki/Nicolas_Catinat,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,5,5,V=3; D=2; N=0; U=1,V=3; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Tachibana Muneshige,https://en.wikipedia.org/wiki/Tachibana_Muneshige,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=3; D=2; N=0; U=1,V=3; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Neil Ritchie,https://en.wikipedia.org/wiki/Neil_Ritchie,mildly_inflated,verified_broad,5,3,2,0,0,corrected,confirmed_stable_after_review,3,3,B=1; O=2; C=0; W=0,B=1; O=2; C=0; W=0,2,3,V=2; D=0; N=0; U=1,V=3; D=0; N=0; U=0,1,0,0,0,,,,,,,,
"John II, Duke of Alençon",https://en.wikipedia.org/wiki/John_II%2C_Duke_of_Alen%C3%A7on,materially_inflated,structurally_suspect,7,5,1,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=3; D=1; N=0; U=1,V=3; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Issam Zahreddine,https://en.wikipedia.org/wiki/Issam_Zahreddine,mildly_inflated,verified_broad,7,5,2,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=1; O=4; C=0; W=0,B=1; O=4; C=0; W=0,3,3,V=2; D=1; N=0; U=2,V=2; D=1; N=0; U=2,0,2,1,1,,,,,,,,
"Nizam Ali Khan, Asaf Jah II",https://en.wikipedia.org/wiki/Nizam_Ali_Khan%2C_Asaf_Jah_II,mildly_inflated,verified_broad,7,6,1,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,4,4,V=2; D=2; N=0; U=2,V=2; D=2; N=0; U=2,0,2,2,2,,,,,,,,
Liao Yaoxiang,https://en.wikipedia.org/wiki/Liao_Yaoxiang,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=2; D=2; N=1; U=1,V=2; D=2; N=1; U=1,0,1,1,1,,,,,,,,
Nureddin Pasha,https://en.wikipedia.org/wiki/Nureddin_Pasha,materially_inflated,verified_broad,12,7,5,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,7,7,B=4; O=0; C=0; W=3,B=4; O=0; C=0; W=3,3,4,V=1; D=2; N=0; U=4,V=1; D=2; N=1; U=3,1,3,2,2,,,,,,,,
Sigbert Heister,https://en.wikipedia.org/wiki/Sigbert_Heister,mildly_inflated,verified_broad,5,4,1,0,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=4; O=0; C=0; W=0,B=4; O=0; C=0; W=0,3,3,V=3; D=0; N=0; U=1,V=3; D=0; N=0; U=1,0,1,1,1,,,,,,,,
John of Austria,https://en.wikipedia.org/wiki/John_of_Austria,materially_inflated,structurally_suspect,7,5,1,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=3; O=0; C=0; W=2,B=3; O=0; C=0; W=2,4,4,V=3; D=1; N=0; U=1,V=3; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Maarten Tromp,https://en.wikipedia.org/wiki/Maarten_Tromp,materially_inflated,structurally_suspect,9,8,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=6; O=0; C=0; W=2,B=6; O=0; C=0; W=2,3,5,V=2; D=1; N=0; U=5,V=2; D=1; N=2; U=3,2,3,2,2,,,,,,,,
Shōjirō Iida,https://en.wikipedia.org/wiki/Sh%C5%8Djir%C5%8D_Iida,materially_inflated,structurally_suspect,6,4,1,1,0,corrected,confirmed_stable_after_review,4,4,B=4; O=0; C=0; W=0,B=4; O=0; C=0; W=0,3,4,V=3; D=0; N=0; U=1,V=4; D=0; N=0; U=0,1,0,0,0,,,,,,,,
Manuel Bulnes,https://en.wikipedia.org/wiki/Manuel_Bulnes,mildly_inflated,verified_broad,8,7,1,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=6; O=0; C=0; W=1,B=6; O=0; C=0; W=1,3,3,V=2; D=1; N=0; U=4,V=2; D=1; N=0; U=4,0,4,4,4,,,,,,,,
Coenus,https://en.wikipedia.org/wiki/Coenus_%28general%29,mildly_inflated,verified_broad,5,4,1,0,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=3; O=0; C=0; W=1,B=3; O=0; C=0; W=1,3,3,V=3; D=0; N=0; U=1,V=3; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Count Claude Florimond de Mercy,https://en.wikipedia.org/wiki/Count_Claude_Florimond_de_Mercy,structurally_clean,verified_core,8,8,0,0,0,unresolved_after_review,confirmed_stable_after_review,8,8,B=6; O=0; C=0; W=2,B=6; O=0; C=0; W=2,6,6,V=3; D=3; N=0; U=2,V=3; D=3; N=0; U=2,0,2,2,2,,,,,,,,
Maximilian Ulysses Browne,https://en.wikipedia.org/wiki/Maximilian_Ulysses_Browne,structurally_clean,verified_core,9,9,0,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,7,7,V=2; D=5; N=0; U=2,V=2; D=5; N=0; U=2,0,2,1,1,,,,,,,,
Khalid bin Sultan Al Saud,https://en.wikipedia.org/wiki/Khalid_bin_Sultan_Al_Saud,materially_inflated,structurally_suspect,5,4,0,1,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=1; O=1; C=0; W=2,B=1; O=1; C=0; W=2,3,3,V=2; D=0; N=1; U=1,V=2; D=0; N=1; U=1,0,1,1,1,,,,,,,,
Yuan Shikai,https://en.wikipedia.org/wiki/Yuan_Shikai,structurally_clean,verified_core,7,7,0,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=2; O=0; C=0; W=5,B=2; O=0; C=0; W=5,4,4,V=2; D=2; N=0; U=3,V=2; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Georgi Todorov,https://en.wikipedia.org/wiki/Georgi_Todorov_%28general%29,materially_inflated,structurally_suspect,11,9,1,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=4; O=4; C=0; W=1,B=4; O=4; C=0; W=1,4,8,V=1; D=3; N=0; U=5,V=5; D=3; N=0; U=1,4,1,1,1,,,,,,,,
Charles Martel,https://en.wikipedia.org/wiki/Charles_Martel,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,4,4,V=3; D=1; N=0; U=2,V=3; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Orhan Ghazi,https://en.wikipedia.org/wiki/Orhan,mildly_inflated,verified_broad,5,4,1,0,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=4; O=0; C=0; W=0,B=4; O=0; C=0; W=0,3,3,V=3; D=0; N=0; U=1,V=3; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Prokop the Great,https://en.wikipedia.org/wiki/Prokop_the_Great,materially_inflated,structurally_suspect,6,5,0,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,3,3,V=3; D=0; N=0; U=2,V=3; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Qianlong Emperor,https://en.wikipedia.org/wiki/Qianlong_Emperor,materially_inflated,structurally_suspect,8,5,2,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=1; O=0; C=0; W=4,B=1; O=0; C=0; W=4,3,3,V=2; D=1; N=0; U=2,V=2; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Mikhail Skobelev,https://en.wikipedia.org/wiki/Mikhail_Skobelev,mildly_inflated,verified_broad,6,5,1,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
"Prince Emanuele Filiberto, Duke of Aosta",https://en.wikipedia.org/wiki/Prince_Emanuele_Filiberto%2C_Duke_of_Aosta,structurally_clean,verified_core,8,8,0,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,6,7,V=2; D=1; N=0; U=2,V=2; D=1; N=1; U=1,1,1,1,1,,,,,,,,
John Sullivan,https://en.wikipedia.org/wiki/John_Sullivan_%28general%29,materially_inflated,structurally_suspect,10,8,0,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=7; O=0; C=0; W=1,B=7; O=0; C=0; W=1,6,7,V=2; D=4; N=0; U=2,V=2; D=4; N=1; U=1,1,1,1,1,,,,,,,,
Louis II de la Trémoille,https://en.wikipedia.org/wiki/Louis_II_de_la_Tr%C3%A9moille,mildly_inflated,verified_broad,8,6,2,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,3,3,V=1; D=2; N=0; U=3,V=1; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Franklin D. Roosevelt,https://en.wikipedia.org/wiki/Franklin_D._Roosevelt,materially_inflated,verified_broad,7,1,6,0,0,unresolved_after_review,confirmed_stable_after_review,1,1,B=0; O=0; C=0; W=1,B=0; O=0; C=0; W=1,0,0,V=0; D=0; N=0; U=1,V=0; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Abu Ibrahim al-Hashimi al-Qurashi,https://en.wikipedia.org/wiki/Abu_Ibrahim_al-Hashimi_al-Qurashi,structurally_clean,verified_core,14,14,0,0,0,unresolved_after_review,confirmed_stable_after_review,14,14,B=4; O=1; C=0; W=9,B=4; O=1; C=0; W=9,5,5,V=0; D=5; N=0; U=9,V=0; D=5; N=0; U=9,0,9,3,3,,,,,,,,
Eduard von Böhm-Ermolli,https://en.wikipedia.org/wiki/Eduard_von_B%C3%B6hm-Ermolli,materially_inflated,structurally_suspect,12,9,2,1,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=5; O=4; C=0; W=0,B=5; O=4; C=0; W=0,5,5,V=1; D=4; N=0; U=4,V=1; D=4; N=0; U=4,0,4,3,3,,,,,,,,
Kuroda Kiyotaka,https://en.wikipedia.org/wiki/Kuroda_Kiyotaka,structurally_clean,verified_core,6,6,0,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,3,3,V=3; D=0; N=0; U=3,V=3; D=0; N=0; U=3,0,3,3,3,,,,,,,,
James II of England,https://en.wikipedia.org/wiki/James_II_of_England,structurally_clean,verified_core,9,9,0,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=5; O=0; C=0; W=4,B=5; O=0; C=0; W=4,3,3,V=1; D=2; N=0; U=6,V=1; D=2; N=0; U=6,0,6,6,6,,,,,,,,
José María Cabral,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Cabral,materially_inflated,structurally_suspect,5,4,0,1,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=2; O=0; C=0; W=2,B=2; O=0; C=0; W=2,3,3,V=2; D=1; N=0; U=1,V=2; D=1; N=0; U=1,0,1,1,1,,,,,,,,
